,Unnamed: 0,hand,equity,Rank
0,0,AA,0.8489461309523809,1
1,1,KK,0.8194645833333334,2
2,2,QQ,0.7952205357142856,3
3,3,JJ,0.7693107142857143,4
4,4,TT,0.742494642857143,5
5,5,99,0.716345238095238,6
6,6,88,0.6877098214285715,7
7,7,AKs,0.6636973214285714,8
8,8,77,0.6571130952380952,9
9,9,AQs,0.6524747023809523,10
10,10,AJs,0.642885119047619,11
11,11,AKo,0.6413880952380953,12
12,12,ATs,0.6347880952380953,13
13,13,AQo,0.6339419642857143,14
14,14,66,0.6295154761904762,15
15,15,KQs,0.6270797619047619,16
16,16,AJo,0.6238985119047619,17
17,17,KJs,0.6168068452380953,18
18,18,A9s,0.61524375,19
19,19,ATo,0.614819642857143,20
20,20,KQo,0.6070464285714285,21
21,21,KTs,0.6058306547619048,22
22,22,A8s,0.6057047619047619,23
23,23,55,0.5994428571428572,24
24,24,A7s,0.597341369047619,25
25,25,KJo,0.5964092261904762,26
26,26,A9o,0.5947767857142857,27
27,27,QJs,0.5942238095238095,28
28,28,K9s,0.5895910714285714,29
29,29,KTo,0.5859336309523809,30
30,30,A5s,0.584766369047619,31
31,31,A6s,0.5846252976190476,32
33,33,QTs,0.5842315476190476,34
34,34,A4s,0.5763848214285714,35
36,36,QJo,0.5722136904761905,37
38,38,A3s,0.5695815476190477,39
39,39,JTs,0.5685130952380952,40
40,40,44,0.5676866071428571,41
43,43,QTo,0.5641300595238096,44
44,44,A5o,0.5626098214285714,45
47,47,A2s,0.5593872023809523,48
49,49,A4o,0.5518776785714286,50
52,52,J9s,0.5457428571428571,53
54,54,JTo,0.5444964285714287,55
55,55,A3o,0.5443104166666667,56
56,56,Q9o,0.5431464285714286,57
59,59,A2o,0.5344669642857143,60
60,60,33,0.5344110119047618,61
61,61,T9s,0.5310303571428572,62
67,67,J9o,0.5234154761904761,68
72,72,T8s,0.5132574404761905,73
79,79,22,0.5021514880952381,80
82,82,98s,0.4986044642857142,83
93,93,97s,0.4808586309523809,94
99,99,87s,0.4708324404761905,100
109,109,86s,0.4522928571428571,110
114,114,76s,0.4431485119047619,115
123,123,75s,0.4268904761904762,124
126,126,65s,0.4211952380952381,127
